קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
655,339,339,ח א-רגום,1537-9/1982-4,חוף הים הדרומי,שלם דינה,5-6.1994,ברונזה קדומה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא 106, עמ 71",,,,,,,,,,,,,,,,
656,339,339,ח א-רגום,1537-9/1982-4,חוף הים הדרומי,שלם דינה,5-6.1994,ברונזה תיכונה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא 106, עמ 71",,,,,,,,,,,,,,,,
657,339,339,ח א-רגום,1537-9/1982-4,חוף הים הדרומי,שלם דינה,5-6.1994,פרסית,,חירבה,עירוני,,,שרידי בנייה,,"חא 106, עמ 71",,,,,,,,,,,,,,,,
658,340,340,ח א-שוביכה-1993,166/268,גליל עליון,תצר איילת ושיאון דני,9.1993,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,כנסייה,"חא 103, עמ 18-19",yes,,,,,,,,,,,,,,,
659,340,340,ח א-שוביכה-1993,166/268,גליל עליון,תצר איילת ושיאון דני,9.1993,מוסלמי קדום,,חירבה,קבר,,,קבר,,"חא 103, עמ 18-19",yes,,,,,,,,,,,,,,,
660,340,340,ח א-שוביכה-1993,166/268,גליל עליון,תצר איילת ושיאון דני,9.1993,רומית,,חירבה,קבר,,,קבר,,"חא 103, עמ 18-19",yes,,,,,,,,,,,,,,,
661,341,341,ח א-שיח מדכור,11738/15019,יהודה,זיסו בועז,9.1996,רומית,מאה 1-2 לספירה,מערה,כפרי?,,,שרידי בנייה,,"חא 107, עמ 106-107",,,,,,,,,,,,,,,,
662,342,342,ח א-שריעה,14525/12435,יהודה,זיסו בועז,11.1998,רומית,מאה 1 לפנהס -1 לספירה,מערה,קבר,,,קבר,לא נתגלה ממצא מתארך,"חא 111, עמ 104-105",,,,,,,,,,,,,,,,
663,343,343,ח א-שרף,1385/1971,חוף הים הדרומי,לוי י ופורת י,5-6.1986,רומית,,מערה,קבר,,,קבר,,"חא פט, עמ 31-32",,,,,,,,,,,,,,,,
664,344,344,ח אבו טווין,1585/1195,יהודה,מזר עמיחי,8.1974,ברזל 2,,מצד,כפרי,,,שרידי בנייה,,"חא נא-נב, עמ 26-27",,,,,,,,,,,,,,,,
665,344,344,ח אבו טווין,1585/1195,יהודה,מזר עמיחי,8.1974,פרסית,,מצד,כפרי,,,שרידי בנייה,,"חא נא-נב, עמ 26-27",,,,,,,,,,,,,,,,
666,345,345,ח אבו עובדייה,146/176,שומרון,קדומי עבדול לטיף,1971,הלניסטית,,מערה,קבר,,,קבר,,"חא מ, עמ 23",,,,,,,,,,,,,,,,
667,480,480,ח אבטן,1605-6/2410-1,חוף הים הצפוני,פיילשטוקר מרטין,12.1997,ביזנטית,,בית קברות,קבר,,,קבר,,חא 112 עמ 32-33,,,,,,,,,,,,,,,,
668,480,480,ח אבטן,1605-6/2410-1,חוף הים הצפוני,פיילשטוקר מרטין,12.1997,ברונזה תיכונה,,חירבה,כפרי?,,,קרמיקה בלבד,,חא 112 עמ 32-33,,,,,,,,,,,,,,,,
669,480,480,ח אבטן,1605-6/2410-1,חוף הים הצפוני,פיילשטוקר מרטין,12.1997,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,חא 112 עמ 32-33,,,,,,,,,,,,,,,,
670,480,480,ח אבטן,1605-6/2410-1,חוף הים הצפוני,פיילשטוקר מרטין,12.1997,ממלוכית,,חירבה,כפרי?,,,קרמיקה בלבד,,חא 112 עמ 32-33,,,,,,,,,,,,,,,,
671,480,480,ח אבטן,1605-6/2410-1,חוף הים הצפוני,פיילשטוקר מרטין,12.1997,ניאולית קראמית,,חירבה,כפרי?,,,קרמיקה בלבד,,חא 112 עמ 32-33,,,,,,,,,,,,,,,,
672,346,346,ח אבנון,1468/0442,הנגב,כהן רודולף,6.1984,ברונזה קדומה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא פד, עמ 59-60",,,,,,,,,,,,,,,,
673,346,346,ח אבנון,1468/0442,הנגב,כהן רודולף,6.1984,ברונזה תיכונה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא פד, עמ 59-60",,,,,,,,,,,,,,,,
674,347,347,ח אבריכתאס,1398/2038,חוף הים הדרומי,אדלשטיין גרשון וזיגלמן ע,1964,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא יא, עמ 21-22",,,,,,,,,,,,,,,,
675,347,347,ח אבריכתאס,1398/2038,חוף הים הדרומי,אדלשטיין גרשון וזיגלמן ע,1964,הלניסטית,,מערה,קבר,,,קבר,,"חא יא, עמ 21-22",,,,,,,,,,,,,,,,
676,347,347,ח אבריכתאס,1398/2038,חוף הים הדרומי,אדלשטיין גרשון וזיגלמן ע,1964,רומית,,מערה,קבר,,,קבר,,"חא יא, עמ 21-22",,,,,,,,,,,,,,,,
677,347,348,ח אבריכתאס,1398/2038,חוף הים הדרומי,קלטר רז ורפיואנו יהודה,10.1993,ברונזה תיכונה 2א,,מערה,קבר,,,קבר,,"חא 104, עמ 71",,,,,,,,,,,,,,,,
678,347,348,ח אבריכתאס,1398/2038,חוף הים הדרומי,קלטר רז ורפיואנו יהודה,10.1993,ברזל 2,מאה 8-9 לפנהס,חירבה,כפרי?,,,קרמיקה בלבד,שפה של קערה ממורקת בלבד,"חא 104, עמ 71",,,,,,,,,,,,,,,,
679,347,348,ח אבריכתאס,1398/2038,חוף הים הדרומי,קלטר רז ורפיואנו יהודה,10.1993,רומית,מאה 2-4 לספירה,חירבה,כפרי?,,,מתקן,,"חא 104, עמ 71",,,,,,,,,,,,,,,,
680,481,481,ח אגוז,14405/10672,יהודה,זיסו בועז,9.1996,רומית,מאה 1 לפנהס- 1 לספירה,בית קברות,קבר,,,קבר,,"חא 107, עמ 123-124",,,,,,,,,,,,,,,,
681,349,349,ח אל בורק,1609/1681,שומרון,דר שמעון,10.1977,ביזנטית,מאה 5-6 לספירה,חירבה,כפרי,,,שרידי בנייה,כנסייה,"חא סה-סו, עמ 28-29",,,,,,,,,,,,,,,,
682,350,350,ח אל ביודאת,1945/1522,עמק הירדן,היזמי חנניה ואחרים,6-7.1986,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,כנסייה,"חא פט, עמ 35-36",,,,,,,,,,,,,,,,
683,350,350,ח אל ביודאת,1945/1522,עמק הירדן,היזמי חנניה ואחרים,6-7.1986,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא פט, עמ 35-36",,,,,,,,,,,,,,,,
684,351,351,ח אל בירה,1565/1590,יהודה,אורן רונית ושפטלוביץ נעמה,"7-8,10.1996",ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 71-73",,,,,,,,,,,,,,,,
685,351,351,ח אל בירה,1565/1590,יהודה,אורן רונית ושפטלוביץ נעמה,"7-8,10.1996",ברונזה קדומה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 71-73",,,,,,,,,,,,,,,,
686,351,351,ח אל בירה,1565/1590,יהודה,אורן רונית ושפטלוביץ נעמה,"7-8,10.1996",ברזל 2,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 71-73",,,,,,,,,,,,,,,,
687,351,351,ח אל בירה,1565/1590,יהודה,אורן רונית ושפטלוביץ נעמה,"7-8,10.1996",כלקולית,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 71-73",,,,,,,,,,,,,,,,
688,351,351,ח אל בירה,1565/1590,יהודה,אורן רונית ושפטלוביץ נעמה,"7-8,10.1996",פרסית,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 71-73",,,,,,,,,,,,,,,,
689,351,351,ח אל בירה,1565/1590,יהודה,אורן רונית ושפטלוביץ נעמה,"7-8,10.1996",רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 71-73",,,,,,,,,,,,,,,,
690,351,352,ח אל בירה,1476/1589,יהודה,שפטלוביץ נעמה ואורן רונית,8-9.1995,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 107, עמ 62-64",,,,,,,,,,,,,,,,
691,351,352,ח אל בירה,1476/1589,יהודה,שפטלוביץ נעמה ואורן רונית,8-9.1995,ברזל 2,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 62-64",,,,,,,,,,,,,,,,
692,351,352,ח אל בירה,1476/1589,יהודה,שפטלוביץ נעמה ואורן רונית,8-9.1995,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 62-64",,,,,,,,,,,,,,,,
693,351,352,ח אל בירה,1476/1589,יהודה,שפטלוביץ נעמה ואורן רונית,8-9.1995,פרסית,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 62-64",,,,,,,,,,,,,,,,
694,353,353,ח אל בשא,14159/10788,יהודה,זיסו בועז,2.1996,ביזנטית,,מערה,כפרי,,,שרידי בנייה,מערות מגורים,"חא 110, עמ 99-102",,,,,,,,,,,,,,,,
695,353,353,ח אל בשא,14159/10788,יהודה,זיסו בועז,2.1996,הלניסטית,,מערה,כפרי,,,שרידי בנייה,מערות מגורים,"חא 110, עמ 99-102",,,,,,,,,,,,,,,,
696,353,353,ח אל בשא,14159/10788,יהודה,זיסו בועז,2.1996,רומית,,מערה,כפרי,,,שרידי בנייה,מערות מגורים,"חא 110, עמ 99-102",,,,,,,,,,,,,,,,
697,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,ביזנטית,מאה 6-7 לספירה,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
698,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,ברונזה קדומה,,חירבה,כפרי,,,צור בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
699,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,הלניסטית,מאה 3-2 לפנהס,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
700,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,כלקולית,,חירבה,כפרי,,,צור בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
701,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,מוסלמי קדום,מאה 9-10 לספירה,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
702,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,ניאולית קראמית,,חירבה,כפרי,,,צור בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
703,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,עותמנית,מאה 19-20 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
704,354,354,ח אל גילגיל,1470/1269,יהודה,וקסלר בדולח שלומית ואחרים,11.1996,רומית,מאה 3-4 לספירה,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 149-150",,,,,,,,,,,,,,,,
705,355,355,ח אל וזייה,168/259,גליל עליון,אביעם מוטי,3.1991,ביזנטית,,חירבה,,,,שרידי בנייה,כנסייה,"חא 99, עמ 99",yes,,,,,,,,,,,,,,,
706,355,356,ח אל וזייה,168/259,גליל עליון,אביעם מוטי,1989,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,כנסייה עם פסיפס,"חא צה, עמ 15",,,,,,,,,,,,,,,,
707,358,358,ח אל חורמייה,20260/26915,גליל עליון,אבו עוקסה הנא,11.1992,צלבני,מאה 11-12 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 104, עמ 17",,,,,,,,,,,,,,,,
708,359,359,ח אל מורק,147/104,יהודה,דמתי עמנואל,1970,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא לג, עמ 5-6",,,,,,,,,,,,,,,,
709,360,360,ח אל מרמיטה,1515/1304,יהודה,גרשוני לילי,4-5.1990.,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא צו, עמ 24",,,,,,,,,,,,,,,,
710,361,361,ח אל עין,14197/11456,יהודה,זיסו בועז,4.1996,רומית,מאה 1 לספירה,מערה,קבר,,,קבר,הקבר ממשיך  לשמש עד מרד בר כוכבא,"חא 109, עמ 131-132",,,,,,,,,,,,,,,,
711,362,362,ח אל עליא א,14868/12481,יהודה,וקסלר בדולח שלומית,10-11.1994,ברונזה קדומה,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 84-86",,,,,,,,,,,,,,,,
712,362,362,ח אל עליא א,14868/12481,יהודה,וקסלר בדולח שלומית,10-11.1994,ברזל,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 84-86",,,,,,,,,,,,,,,,
713,362,362,ח אל עליא א,14868/12481,יהודה,וקסלר בדולח שלומית,10-11.1994,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא 105, עמ 84-86",,,,,,,,,,,,,,,,
714,362,362,ח אל עליא א,14868/12481,יהודה,וקסלר בדולח שלומית,10-11.1994,ביזנטית,,חירבה,כפרי?,,,מתקן,"גת,","חא 105, עמ 84-86",,,,,,,,,,,,,,,,
715,362,362,ח אל עליא א,14868/12481,יהודה,וקסלר בדולח שלומית,10-11.1994,מוסלמי קדום,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 84-86",,,,,,,,,,,,,,,,
716,362,362,ח אל עליא א,14868/12481,יהודה,וקסלר בדולח שלומית,10-11.1994,אין תיארוך,,חירבה,כפרי?,,,מתקן,"מתקנים חצובים שונים וגם: ספלולים, בור מים, מערה","חא 105, עמ 84-86",,,,,,,,,,,,,,,,
717,362,363,"ח אל עליא, דרום מזרח",14897/12445,יהודה,דגן יהודה,7-8.1995,ברונזה קדומה 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 105, עמ 93-94",,,,,,,,,,,,,,,,
718,362,363,"ח אל עליא, דרום מזרח",14897/12445,יהודה,דגן יהודה,7-8.1995,עותמנית,,מערה,כפרי?,,,שרידי בנייה,שימוש חוזרבמערת קבורה למכלאה,"חא 105, עמ 93-94",,,,,,,,,,,,,,,,
719,362,363,"ח אל עליא, דרום מזרח",14897/12445,יהודה,דגן יהודה,7-8.1995,אין תיארוך,,חירבה,כפרי,,,מתקן,"אגנים, גת, ספלולים","חא 105, עמ 93-94",,,,,,,,,,,,,,,,
720,364,364,ח אל קום,1465/1045,יהודה,הולאדיי נ.ס. הבן,3-4.1971,ברונזה קדומה 3,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לט, עמ 24-25",,,,,,,,,,,,,,,,
721,364,364,ח אל קום,1465/1045,יהודה,הולאדיי נ.ס. הבן,3-4.1971,ברונזה תיכונה 1,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לט, עמ 24-25",,,,,,,,,,,,,,,,
722,364,364,ח אל קום,1465/1045,יהודה,הולאדיי נ.ס. הבן,3-4.1971,ברזל 2,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לט, עמ 24-25",,,,,,,,,,,,,,,,
723,364,364,ח אל קום,1465/1045,יהודה,הולאדיי נ.ס. הבן,3-4.1971,הלניסטית,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לט, עמ 24-25",,,,,,,,,,,,,,,,
724,364,364,ח אל קום,1465/1045,יהודה,הולאדיי נ.ס. הבן,3-4.1971,כלקולית,,מרגלות תל,כפרי?,,,קרמיקה בלבד,,"חא לט, עמ 24-25",,,,,,,,,,,,,,,,
725,364,364,ח אל קום,1465/1045,יהודה,הולאדיי נ.ס. הבן,3-4.1971,פרסית,,מרגלות תל,כפרי?,,,קרמיקה בלבד,,"חא לט, עמ 24-25",,,,,,,,,,,,,,,,
726,365,365,ח אל קציר,1735/2604,גליל עליון,אביעם מוטי,10.1997,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,,"חא 109, עמ 11-12",,,,,,,,,,,,,,,,
727,365,365,ח אל קציר,1735/2604,גליל עליון,אביעם מוטי,10.1997,רומית,,חירבה,כפרי?,,,שרידי בנייה,,"חא 109, עמ 11-12",,,,,,,,,,,,,,,,
728,366,366,ח אל שוביכה,1663/2690,גליל עליון,אבשלום גורני רינה,1991,ביזנטית,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 100, עמ 14-15",,,,,,,,,,,,,,,,
729,366,366,ח אל שוביכה,1663/2690,גליל עליון,אבשלום גורני רינה,1991,ימי הביניים,,בית קברות,קבר,,,קבר,,"חא 100, עמ 14-15",,,,,,,,,,,,,,,,
730,366,366,ח אל שוביכה,1663/2690,גליל עליון,אבשלום גורני רינה,1991,מוסלמי קדום,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 100, עמ 14-15",,,,,,,,,,,,,,,,
731,366,366,ח אל שוביכה,1663/2690,גליל עליון,אבשלום גורני רינה,1991,רומית,,מרגלות תל,כפרי,כ 4 דונם,,קרמיקה בלבד,,"חא 100, עמ 14-15",yes,,,,,,,,,,,,,,,
732,367,367,ח אנדור,1865/2274,עמק הירדן,ברשד דרור,12.1992,רומית,מאה 1-2 לספירה,מערה,קבר,,,קבר,,"חא 101-102, עמ 120",,,,,,,,,,,,,,,,
733,368,368,ח ארזה,1145/1165,חוף הים הצפוני,ישראל יגאל,9.1992,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 115-117",,,,,,,,,,,,,,,,
734,482,482,ח בורגין,1472/1157,יהודה,זיסו בועז וגנור אמיר,10.1994,ביזנטית,,מערה,קבר,,,קבר,,"חא 104, עמ 106-107",,,,,,,,,,,,,,,,
735,482,482,ח בורגין,1472/1157,יהודה,זיסו בועז וגנור אמיר,10.1994,רומית,מאה 1-2 לספירה,מערה,קבר,,,קבר,,"חא 104, עמ 106-107",,,,,,,,,,,,,,,,
736,482,483,ח בורגין,1473/1158,יהודה,זיסו בועז וגנור אמיר,10.1995,ביזנטית,מאה 3-4 לספירה,מערה,קבר,,,קבר,,"חא 107, עמ 108-109",,,,,,,,,,,,,,,,
737,482,483,ח בורגין,1473/1158,יהודה,זיסו בועז וגנור אמיר,10.1995,רומית,מאה 1-2 לספירה,מערה,קבר,,,קבר,,"חא 107, עמ 108-109",,,,,,,,,,,,,,,,
738,482,484,ח בורגין,1473/1158,יהודה,זיסו בועז וגנור אמיר,10.1996,רומית,בית שני,מערה,קבר,,,קבר,,"חא 109, עמ 130-131",,,,,,,,,,,,,,,,
739,369,369,ח בורין,1486/1909,חוף הים הדרומי,קלטר רז,11-12.1998,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,חא 112 עמ 59-60,,,,,,,,,,,,,,,,
740,369,369,ח בורין,1486/1909,חוף הים הדרומי,קלטר רז,11-12.1998,ממלוכית,מאה 13-14 לספירה,חירבה,כפרי?,,,שרידי בנייה,,חא 112 עמ 59-60,,,,,,,,,,,,,,,,
741,369,369,ח בורין,1486/1909,חוף הים הדרומי,קלטר רז,11-12.1998,פרסית,,חירבה,כפרי?,,,קרמיקה בלבד,מספר חרסים בודדים,חא 112 עמ 59-60,,,,,,,,,,,,,,,,
742,370,370,ח בורק,1609/1681,שומרון,דר שמעון,5.1981,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא עח-עט, עמ 38-40",,,,,,,,,,,,,,,,
743,370,370,ח בורק,1609/1681,שומרון,דר שמעון,5.1981,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא עח-עט, עמ 38-40",,,,,,,,,,,,,,,,
744,371,371,ח בטיחה,2088/2581,רמת הגולן,אפשטיין קלר,6.1976,אין תיארוך,,חירבה,כפרי,,,שרידי בנייה,,"חא נט-ס, עמ 8",,,,,,,,,,,,,,,,
745,372,372,ח בית בצה,1713/1222,יהודה,ברוך יובל ושרוך אברהים,4.1994,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,קבר ומקווה לצידו,"חא 106, עמ 147-148",,,,,,,,,,,,,,,,
746,373,373,ח בית גן,196/235,גליל תחתון,ליבוביץ הרולד,1989,ברזל 1,,חירבה,כפרי,,,שרידי בנייה,,"חא צה, עמ 74",,,,,,,,,,,,,,,,
747,373,373,ח בית גן,196/235,גליל תחתון,ליבוביץ הרולד,1989,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא צה, עמ 74",,,,,,,,,,,,,,,,
748,373,374,ח בית גן,196/235,גליל תחתון,ליבוביץ הרולד,6-7.1988,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא צג, עמ 96",,,,,,,,,,,,,,,,
749,373,374,ח בית גן,196/235,גליל תחתון,ליבוביץ הרולד,6-7.1988,ברזל,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא צג, עמ 96",,,,,,,,,,,,,,,,
